pop,income
5857412.304,232750
3026804.514,182094
2255825.018,144155
2902039.649,262442
2475292.423,268218
2956848.289,164258
2708165.123,176437
2311796.881,110339
2963099.371,216861
2524968.529,138479
2677568.142,163900
3194057.67,180747
3562469.358,174795
3125645.427,139990
5713649.496,173113
3534208.511,136000
3126103.292,192535
3896267.863,278233
3566634.623,177212
3329824.146,174494
4772049.084,109964
2627790.565,207454
3882656.159,73951
3603049.152,62633
2318482.787,181400
2961808.928,53242
2885474.066,106984
2734355.217,69103
2945393.249,117518
2188799.99,44473
2910055.503,111867
2551933.53,166660
2634608.438,120061
2264078.125,96780
2453286.836,138822
2512425.671,52819
2726341.832,81385
2836433.155,90131
2324155.2,54909
1998952.987,23153
3415504.205,168454
2183056.863,74489
2715163.751,231678
2569232.265,103513
2494076.034,152484
2481631.394,179984
1984215.577,82826
3628839.209,166806
2668594.1,38410
2464108.692,33120
2326107.709,123293
2254593.311,221099
2549577.063,28709
2326898.172,184890
2484852.696,211902
2654112.049,217440
3471420.302,140058
2989856.151,11735
2660238.603,64524
2742572.486,160438
2894915.275,92057
2786315.227,47838
2621045.452,186885
2940787.054,128667
2453182.155,75810
2294990.363,104200
2872928.266,203429
3759123.581,144887
2552290.571,106279
3725125.086,135140
3359765.589,65216
3764093.449,80803
3228054.761,93842
3467872.873,93071
3452126.069,134616
2474623.726,30711
3081201.329,432730
4461667.137,21398
2870464.901,126096
2433615.779,156379
2725997.92,79667
2989044.14,109645
2777451.137,173966
2575302.768,275986
2134931.245,42971
2541060.805,339962
3751599.25,400001
3272525.818,498302
2470763.712,193706
2483339.419,277306
2491998.792,81415
3096329.313,223027
2236043.711,92959
2826538.176,55712
2391649.149,50296
2487537.317,21605
2749961.038,94582
3625786.891,405560
3146900.645,62020
2338591.624,190466
2952201.66,92434
2750713.526,191594
2844974.272,224892
2096587.199,69985
3041970.577,115113
3489764.618,326111
2586268.275,98949
2395433.205,14419
2829977.978,41071
2750103.316,34275
2452133.191,38658
2783187.093,10896
2399151.124,14067
2686249.798,21031
2705548.681,154039
2782345.059,15565
2567742.394,19972
2626394.122,21196
2725947.127,122630
2861439.981,21805
2387786.468,21399
2479670.299,33100
2727249.95,12600
2329740.341,22857
2368579.692,20753
2488114.875,15221
2423046.858,16680
2399432.081,24563
2320230.201,23951
2349083.425,46307
2571200.783,63373
2563045.407,17265
2484440.77,37085
2926542.174,359895
2566321.609,95409
3650648.672,15993
2553002.56,50455
2366363.982,25508
2348708.931,57232
2945638.296,76150
2565193.606,48227
2311234.871,33308
3303749.161,76581
2521220.304,26384
3204097.242,134959
2340980.294,38310
3032610.5,280762
2405502.446,16190
2611718.516,32061
2596865.565,45999
2431310.154,28767
2792908.295,118140
2208098.016,41844
2330832.576,38393
2342361.976,12396
2271641.279,27417
2390553.674,13779
2655052.669,41771
2494518.763,126820
2500712.577,14627
2461693.822,11301
2826436.67,273441
2337969.189,53511
2450454.312,13108
2480191.257,18346
2316060.736,34746
2680129.616,15326
3224482.214,63909
2322761.58,13058
2612878.07,56019
2536208.361,23462
2418871.272,102364
2783128.431,36688
2401331.261,22291
2960404.084,116962
2553073.575,21762
3246119.653,123445
2758048.984,26635
2277465.385,27312
2400060.258,25885
2559426.23,22774
2434196.365,20142
2490810.054,16095
2447775.391,17815
2291116.083,34794
2359691.605,30003
2406601.577,115195
2809640.102,118441
2275261.48,16232
3015863.434,175669
2506243.416,12890
2794686.019,65161
2447524.686,35346
2454787.373,16711
2436973.733,48381
2156397.927,22774
2675641.588,74589
2247386.183,20099
2544638.098,8936
2644597.234,49030
2380583.857,51319
2788950.253,26415
3002235.982,5442
2972178.775,25225
2179426.182,28078
2332451.948,22456
2318384.914,13866
2625286.487,52686
3145045.065,220024
3172343.858,101792
2549722.394,29555
2311653.169,25872
2690278.24,216604
2395944.494,22645
2357856.268,51489
2728688.884,52466
2447399.068,19015
2628961.709,144650
2457529.206,14557
2888687.88,148805
2401842.105,31471
3038325.503,430962
2350392.707,59411
2462290.552,23679
2493266.298,30901
2378734.277,20415
2454718.624,24184
2439200.335,83650
2549652.572,209070
